iter	Passed	Remaining
1191	44245	29991
1192	44265	29943
1193	44284	29894
1194	44304	29845
1195	44325	29797
1196	44346	29749
1197	44367	29701
1198	44388	29654
1199	44410	29606
1200	44430	29558
1201	44450	29510
1202	44470	29462
1203	44490	29413
1204	44510	29365
1205	44531	29318
1206	44553	29271
1207	44572	29223
1208	44593	29175
1209	44612	29127
1210	44633	29079
1211	44657	29034
1212	44683	28991
1213	44704	28943
1214	44723	28895
1215	44742	28847
1216	44762	28799
1217	44784	28753
1218	44805	28706
1219	44825	28659
1220	44846	28612
1221	44866	28564
1222	44887	28517
1223	44908	28471
1224	44928	28423
1225	44947	28376
1226	44967	28328
1227	44987	28282
1228	45006	28234
1229	45026	28187
1230	45047	28141
1231	45068	28094
1232	45087	28047
1233	45108	28000
1234	45128	27954
1235	45149	27908
1236	45169	27861
1237	45189	27814
1238	45212	27769
1239	45237	27725
1240	45260	27681
1241	45282	27636
1242	45303	27590
1243	45323	27543
1244	45343	27497
1245	45364	27451
1246	45384	27405
1247	45404	27359
1248	45427	27314
1249	45446	27268
1250	45468	27223
1251	45489	27177
1252	45509	27131
1253	45528	27084
1254	45549	27039
1255	45569	26993
1256	45588	26947
1257	45608	26900
1258	45629	26855
1259	45650	26810
1260	45672	26766
1261	45691	26719
1262	45712	26674
1263	45733	26629
1264	45754	26584
1265	45774	26539
1266	45796	26494
1267	45820	26451
1268	45844	26408
1269	45868	26365
1270	45891	26321
1271	45912	26277
1272	45937	26234
1273	45959	26190
1274	45981	26146
1275	46002	26101
1276	46024	26057
1277	46045	26013
1278	46067	25969
1279	46087	25923
1280	46108	25879
1281	46128	25834
1282	46150	25791
1283	46173	25747
1284	46193	25703
1285	46214	25659
1286	46236	25615
1287	46256	25570
1288	46276	25525
1289	46296	25480
1290	46316	25436
1291	46338	25393
1292	46358	25348
1293	46378	25303
1294	46399	25259
1295	46422	25217
1296	46445	25174
1297	46465	25129
1298	46485	25085
1299	46506	25041
1300	46528	24998
1301	46548	24954
1302	46573	24913
1303	46595	24869
1304	46617	24827
1305	46642	24785
1306	46663	24742
1307	46684	24698
1308	46704	24654
1309	46724	24610
1310	46746	24567
1311	46768	24524
1312	46788	24480
1313	46807	24436
1314	46828	24393
1315	46849	24350
1316	46869	24306
1317	46889	24262
1318	46908	24219
1319	46930	24176
1320	46951	24133
1321	46971	24089
1322	46991	24046
1323	47012	24003
1324	47031	23959
1325	47052	23916
1326	47072	23873
1327	47093	23830
1328	47112	23786
1329	47133	23744
1330	47156	23702
1331	47176	23658
1332	47198	23616
1333	47218	23573
1334	47238	23530
1335	47260	23488
1336	47284	23447
1337	47312	23408
1338	47338	23368
1339	47362	23327
1340	47384	23286
1341	47406	23244
1342	47427	23201
1343	47448	23159
1344	47470	23117
1345	47490	23074
1346	47510	23032
1347	47530	22989
1348	47550	22946
1349	47570	22904
1350	47591	22862
1351	47612	22820
1352	47635	22779
1353	47657	22737
1354	47678	22695
1355	47701	22654
1356	47722	22613
1357	47744	22571
1358	47767	22530
1359	47789	22489
1360	47810	22447
1361	47832	22406
1362	47854	22365
1363	47876	22323
1364	47898	22282
1365	47919	22240
1366	47943	22200
1367	47963	22158
1368	47983	22116
1369	48004	22075
1370	48025	22033
1371	48045	21991
1372	48066	21950
1373	48087	21908
1374	48108	21867
1375	48132	21827
1376	48155	21787
1377	48178	21746
1378	48199	21705
1379	48221	21664
1380	48242	21623
1381	48263	21582
1382	48283	21540
1383	48302	21498
1384	48322	21457
1385	48343	21416
1386	48364	21375
1387	48383	21333
1388	48403	21291
1389	48423	21250
1390	48443	21209
1391	48464	21168
1392	48488	21128
1393	48509	21087
1394	48531	21047
1395	48555	21008
1396	48578	20968
1397	48604	20929
1398	48627	20890
1399	48650	20850
1400	48670	20808
1401	48689	20767
1402	48712	20727
1403	48733	20687
1404	48755	20647
1405	48777	20607
1406	48799	20567
1407	48820	20526
1408	48841	20486
1409	48864	20446
1410	48887	20407
1411	48909	20367
1412	48929	20326
1413	48950	20286
1414	48971	20246
1415	48994	20206
1416	49013	20165
1417	49032	20124
1418	49053	20084
1419	49074	20044
1420	49098	20005
1421	49122	19966
1422	49146	19927
1423	49168	19888
1424	49193	19849
1425	49216	19810
1426	49236	19770
1427	49257	19730
1428	49277	19690
1429	49297	19650
1430	49319	19610
1431	49343	19571
1432	49367	19533
1433	49389	19494
1434	49409	19453
1435	49429	19413
1436	49449	19373
1437	49469	19333
1438	49492	19294
1439	49512	19254
1440	49532	19214
1441	49552	19174
1442	49573	19135
1443	49595	19096
1444	49615	19056
1445	49635	19016
1446	49654	18976
1447	49674	18936
1448	49695	18897
1449	49716	18857
1450	49739	18819
1451	49762	18780
1452	49784	18742
1453	49807	18703
1454	49830	18664
1455	49853	18626
1456	49875	18587
1457	49895	18548
1458	49916	18509
1459	49936	18469
1460	49958	18430
1461	49981	18392
1462	50005	18354
1463	50031	18317
1464	50053	18279
1465	50077	18241
1466	50098	18202
1467	50120	18163
1468	50141	18124
1469	50161	18085
1470	50182	18046
1471	50204	18007
1472	50224	17969
1473	50244	17929
1474	50265	17890
1475	50284	17851
1476	50306	17813
1477	50326	17774
1478	50345	17735
1479	50367	17696
1480	50389	17658
1481	50413	17620
1482	50433	17582
1483	50456	17544
1484	50480	17506
1485	50503	17468
1486	50525	17430
1487	50549	17393
1488	50574	17356
1489	50596	17318
1490	50617	17279
1491	50638	17241
1492	50660	17203
1493	50682	17165
1494	50704	17127
1495	50726	17089
1496	50748	17051
1497	50771	17014
1498	50792	16976
1499	50814	16938
1500	50839	16901
1501	50865	16864
1502	50890	16828
1503	50924	16794
1504	50950	16757
1505	50974	16720
1506	50998	16683
1507	51024	16647
1508	51048	16610
1509	51078	16575
1510	51104	16538
1511	51128	16501
1512	51152	16464
1513	51177	16428
1514	51200	16391
1515	51227	16355
1516	51253	16318
1517	51275	16281
1518	51297	16243
1519	51320	16206
1520	51344	16169
1521	51372	16134
1522	51404	16099
1523	51432	16064
1524	51457	16027
1525	51484	15991
1526	51514	15956
1527	51551	15924
1528	51578	15888
1529	51611	15854
1530	51640	15819
1531	51664	15782
1532	51687	15745
1533	51710	15708
1534	51732	15671
1535	51757	15635
1536	51782	15598
1537	51806	15562
1538	51830	15525
1539	51854	15489
1540	51879	15452
1541	51903	15416
1542	51928	15379
1543	51952	15343
1544	51977	15307
1545	52004	15271
1546	52033	15236
1547	52058	15200
1548	52081	15163
1549	52104	15127
1550	52127	15090
1551	52151	15054
1552	52176	15017
1553	52199	14981
1554	52223	14945
1555	52249	14909
1556	52275	14873
1557	52300	14837
1558	52326	14801
1559	52354	14766
1560	52378	14730
1561	52401	14693
1562	52425	14657
1563	52450	14621
1564	52475	14585
1565	52497	14549
1566	52526	14514
1567	52553	14479
1568	52578	14443
1569	52602	14407
1570	52624	14370
1571	52647	14333
1572	52669	14297
1573	52692	14261
1574	52713	14224
1575	52736	14187
1576	52758	14151
1577	52781	14115
1578	52803	14078
1579	52826	14042
1580	52847	14005
1581	52869	13969
1582	52891	13932
1583	52915	13896
1584	52937	13860
1585	52958	13824
1586	52980	13787
1587	53001	13751
1588	53024	13715
1589	53046	13678
1590	53068	13642
1591	53091	13606
1592	53113	13570
1593	53136	13534
1594	53159	13498
1595	53181	13462
1596	53201	13425
1597	53223	13389
1598	53247	13353
1599	53268	13317
1600	53289	13280
1601	53312	13244
1602	53335	13209
1603	53359	13173
1604	53379	13137
1605	53401	13100
1606	53425	13065
1607	53449	13030
1608	53472	12994
1609	53503	12960
1610	53526	12924
1611	53546	12888
1612	53569	12852
1613	53591	12816
1614	53613	12780
1615	53635	12744
1616	53655	12708
1617	53676	12672
1618	53698	12636
1619	53719	12600
1620	53741	12565
1621	53762	12529
1622	53784	12493
1623	53808	12458
1624	53829	12422
1625	53849	12386
1626	53869	12349
1627	53891	12314
1628	53913	12278
1629	53934	12242
1630	53954	12206
1631	53975	12171
1632	53998	12135
1633	54019	12099
1634	54040	12064
1635	54063	12028
1636	54085	11993
1637	54108	11957
1638	54129	11922
1639	54152	11887
1640	54173	11851
1641	54195	11815
1642	54215	11780
1643	54235	11744
1644	54257	11709
1645	54279	11673
1646	54301	11638
1647	54321	11602
1648	54343	11567
1649	54364	11531
1650	54386	11496
1651	54406	11461
1652	54426	11425
1653	54446	11389
1654	54471	11355
1655	54497	11320
1656	54518	11285
1657	54545	11251
1658	54568	11216
1659	54589	11181
1660	54612	11146
1661	54633	11110
